domain,name,iteration,size,span,ns,us
mono,ManagedStatic,2,5242880,00:00:00.0124546,4.66434478759766,0.00466434478759766
mono,ManagedVirtual,2,5242880,00:00:00.0232709,8.82547378540039,0.00882547378540039
mono,DllImportDirect,2,5242880,00:00:01.1263247,429.596843719482,0.429596843719482
mono,DllImportCustomMarshaller,2,5242880,00:00:02.2659256,864.205474853516,0.864205474853516
mono,DllImportWithCallback,2,15,00:00:00.0001635,10900,10.9
mono,DllImportWithCallback,2,40,00:00:00.0000057,142.5,0.1425
mono,DllImportWithCallback,2,100,00:00:00.0000132,132,0.132
mono,DllImportWithCallback,2,240,00:00:00.0000415,172.916666666667,0.172916666666667
mono,DllImportWithCallback,2,560,00:00:00.0000660,117.857142857143,0.117857142857143
mono,DllImportWithCallback,2,1280,00:00:00.0001492,116.5625,0.1165625
mono,DllImportWithCallback,2,2880,00:00:00.0003331,115.659722222222,0.115659722222222
mono,DllImportWithCallback,2,6400,00:00:00.0007390,115.46875,0.11546875
mono,DllImportWithCallback,2,14080,00:00:00.0016644,189.232954545455,0.189232954545455
mono,DllImportWithCallback,2,30720,00:00:00.0036365,216.031901041667,0.216031901041667
mono,DllImportWithCallback,2,66560,00:00:00.0076443,220.016526442308,0.220016526442308
mono,DllImportWithCallback,2,143360,00:00:00.0164634,226.446707589286,0.226446707589286
mono,DllImportWithCallback,2,307200,00:00:00.0353603,229.037434895833,0.229037434895833
mono,DllImportWithCallback,2,655360,00:00:00.0753552,229.423828125,0.229423828125
mono,DllImportWithCallback,2,1392640,00:00:00.1603326,230.018238740809,0.230018238740809
mono,DllImportWithCallback,2,2949120,00:00:00.3389136,229.530707465278,0.229530707465278
mono,DllImportWithCallback,2,6225920,00:00:00.7163486,230.062159488076,0.230062159488076
mono,DllImportWithCallback,2,13107200,00:00:01.5071625,229.962348937988,0.229962348937988
mono,DllImportWithCallback,2,27525120,00:00:03.1671665,230.123120262509,0.230123120262509
mono,DllImportWithCallback,2,57671680,00:00:06.6311696,229.959827769886,0.229959827769886
mono,ManagedStatic,3,10,00:00:00.0000004,40,0.04
mono,ManagedVirtual,3,10,00:00:00.0000003,30,0.03
mono,DllImportDirect,3,10,00:00:00.0000062,620,0.62
mono,DllImportCustomMarshaller,3,10,00:00:00.0000125,1250,1.25
mono,ManagedStatic,3,20,00:00:00.0000001,5,0.005
mono,ManagedVirtual,3,20,00:00:00.0000002,10,0.01
mono,DllImportDirect,3,20,00:00:00.0000045,225,0.225
mono,DllImportCustomMarshaller,3,20,00:00:00.0000091,455,0.455
mono,ManagedStatic,3,40,00:00:00.0000002,5,0.005
mono,ManagedVirtual,3,40,00:00:00.0000002,5,0.005
mono,DllImportDirect,3,40,00:00:00.0000088,220,0.22
mono,DllImportCustomMarshaller,3,40,00:00:00.0000177,442.5,0.4425
mono,ManagedStatic,3,80,00:00:00.0000003,3.75,0.00375
mono,ManagedVirtual,3,80,00:00:00.0000005,6.25,0.00625
mono,DllImportDirect,3,80,00:00:00.0000175,218.75,0.21875
mono,DllImportCustomMarshaller,3,80,00:00:00.0000357,446.25,0.44625
mono,ManagedStatic,3,160,00:00:00.0000005,3.125,0.003125
mono,ManagedVirtual,3,160,00:00:00.0000008,5,0.005
mono,DllImportDirect,3,160,00:00:00.0000345,215.625,0.215625
mono,DllImportCustomMarshaller,3,160,00:00:00.0000705,440.625,0.440625
mono,ManagedStatic,3,320,00:00:00.0000008,2.5,0.0025
mono,ManagedVirtual,3,320,00:00:00.0000015,4.6875,0.0046875
mono,DllImportDirect,3,320,00:00:00.0000687,214.6875,0.2146875
mono,DllImportCustomMarshaller,3,320,00:00:00.0001787,558.4375,0.5584375
mono,ManagedStatic,3,640,00:00:00.0000016,2.5,0.0025
mono,ManagedVirtual,3,640,00:00:00.0000027,4.21875,0.00421875
mono,DllImportDirect,3,640,00:00:00.0001382,215.9375,0.2159375
mono,DllImportCustomMarshaller,3,640,00:00:00.0002797,437.03125,0.43703125
mono,ManagedStatic,3,1280,00:00:00.0000031,2.421875,0.002421875
mono,ManagedVirtual,3,1280,00:00:00.0000058,4.53125,0.00453125
mono,DllImportDirect,3,1280,00:00:00.0002752,215,0.215
mono,DllImportCustomMarshaller,3,1280,00:00:00.0005644,440.9375,0.4409375
mono,ManagedStatic,3,2560,00:00:00.0000061,2.3828125,0.0023828125
mono,ManagedVirtual,3,2560,00:00:00.0000116,4.53125,0.00453125
mono,DllImportDirect,3,2560,00:00:00.0005470,213.671875,0.213671875
mono,DllImportCustomMarshaller,3,2560,00:00:00.0011215,828.7109375,0.8287109375
mono,ManagedStatic,3,5120,00:00:00.0000123,2.40234375,0.00240234375
mono,ManagedVirtual,3,5120,00:00:00.0000230,4.4921875,0.0044921875
mono,DllImportDirect,3,5120,00:00:00.0011018,410.5078125,0.4105078125
mono,DllImportCustomMarshaller,3,5120,00:00:00.0022613,832.28515625,0.83228515625
mono,ManagedStatic,3,10240,00:00:00.0000243,2.373046875,0.002373046875
mono,ManagedVirtual,3,10240,00:00:00.0000433,4.228515625,0.004228515625
mono,DllImportDirect,3,10240,00:00:00.0022353,413.603515625,0.413603515625
mono,DllImportCustomMarshaller,3,10240,00:00:00.0045384,833.828125,0.833828125
mono,ManagedStatic,3,20480,00:00:00.0000487,2.3779296875,0.0023779296875
mono,ManagedVirtual,3,20480,00:00:00.0000865,4.2236328125,0.0042236328125
mono,DllImportDirect,3,20480,00:00:00.0044159,410.9326171875,0.4109326171875
mono,DllImportCustomMarshaller,3,20480,00:00:00.0089802,829.111328125,0.829111328125
mono,ManagedStatic,3,40960,00:00:00.0000973,2.37548828125,0.00237548828125
mono,ManagedVirtual,3,40960,00:00:00.0001729,4.22119140625,0.00422119140625
mono,DllImportDirect,3,40960,00:00:00.0087872,409.84375,0.40984375
mono,DllImportCustomMarshaller,3,40960,00:00:00.0178819,851.60888671875,0.85160888671875
